Date_Name_TissueType_,Species_Name_Abbreviation,Species_Name_Full,Sex, F_name_number,Pollination_Syndrome,Time_(min),Mass_(g),Mass*time,Limonene,"3-Hexen-1-ol, (Z)-",1-Hexanol,beta-Pinene,"3-Hexen-1-ol, acetate, (Z)-",trans-beta-Ocimene,Caryophyllene,Humulene,alpha-Farnesene,3-Carene,Methyl Benzoate,(E)-beta-Famesene,Germacrene D,Pentadecane,Heptadecane,alpha-Pinene,Camphene,beta-Myrcene,Tridecane,Tetradecanal,Benzaldehyde,Eucalyptol,1-Dodecene,"Tetradecanoic acid, ethyl ester",1-Octanol,"Octanoic acid, ethyl ester",Dodecane,Tetradecane,Hexadecane,"Hexadecanoic acid, ethyl ester",Anisole,Acetophenone,Benzyl Benzoate,"Butanedioic acid, diethyl ester","Benzeneacetic acid, ethyl ester",Undecane,Decanal,Dodecanal,Hexanal,2-Hexenal,Decane,"Butanoic acid, 3-hexenyl ester, (Z)-",Styrene,"2,6-Octadien-1-ol, 3,7-dimethyl-, (Z)-","2,6-Octadienal, 3,7-dimethyl-, (Z)-","2,6-Octadien-1-ol, 3,7-dimethyl-, (E)-","2,6-Octadienal, 3,7-dimethyl-","2-Propen-1-ol, 3-phenyl-","6-Octen-1-ol, 3,7-dimethyl-, acetate","2,6-Octadien-1-ol, 3,7-dimethyl-, acetate, (Z)-",Geranyl acetate,gamma-Terpinene,"Decanoic acid, ethyl ester",beta-Phellandrene
140624_thdasy373c_ffl_Kovatsmatchonly,dasy,Thalictrum_dasycarpum,female,8,2,1525,1.47,2241.75,0,256920,0,0,1088847,1902893,0,0,889746,0,0,0,0,0,0,354535,656978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140612_tday377_mfl,dasy,Thalictrum_dasycarpum,male,8,2,1428,6.44,9196.32,0,0,0,0,0,2380223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14_060112_thdasy379_ffl_Kovatsmatchonly,dasy,Thalictrum_dasycarpum,female,8,2,1428,11.45,16350.6,0,0,0,0,0,1013158,0,0,0,0,0,0,0,0,0,0,481182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140710_thdel647_fl_Kovatsmatchonly,del,Thalictrum_delavayi,her,10,1,1470,2.97,4365.9,674625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557734,0,0,0,0,0,4274206,0,0,0,0,0,0,0,0,0,0,0,373084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554121,0
140710_thdel648a_fl_Kovatsmatchonly,del,Thalictrum_delavayi,her,10,1,1470,2.8,4116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140710_thdel648b_fl_Kovatsmatchonly,del,Thalictrum_delavayi,her,10,1,1470,3.4,4998,0,575496,0,0,0,0,0,0,1334149,0,153888,0,0,374519,0,0,0,0,0,0,0,0,0,0,0,6510134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808067,3243162
14_050112_thdel974_fl_Kovatsmatchonly,del,Thalictrum_delavayi,her,10,1,1451,4.87,7066.37,1814684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14_050212_thdel648_fl_Kovatsmatchonly,del,Thalictrum_delavayi,her,10,1,1451,3.96,5745.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140411_thdio215_fl_Kovatsmatchonly,dio,Thalictrum_dioicum,male,4,2,1140,7.63,8698.2,6215872,39000827,0,3029816,141124179,12906019,0,0,4912379,0,3954046,0,0,2404047,3867540,4383228,0,0,0,0,3334446,4474689,4838726,4470832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14_051012_thdiolith_ffl_Kovatsmatchonly,dio,Thalictrum_dioicum,female,4,2,1410,1.18,1663.8,0,0,0,0,806237,546857,0,0,0,0,0,0,0,112134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140411_thdio205_fl_Kovatsmatchonly,dio,Thalictrum_dioicum,male,4,2,1140,9.64,10989.6,0,18713166,0,0,95320334,5157586,0,0,0,0,2829815,0,0,0,3150350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140411_thdio319_fl_Kovatsmatchonly,dio,Thalictrum_dioicum,female,4,2,1140,4.56,5198.4,12981623,22482792,0,8991174,126150423,5000653,0,0,19077086,0,14439698,0,0,14228949,16307338,8885147,4028566,4436776,0,0,2792625,99755476,14773162,4091244,5653493,5999829,3736286,5685665,6449680,3149431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14_051012_thdio391_mfl_Kovatsmatchonly,dio,Thalictrum_dioicum,male,4,2,1410,7.03,9912.3,0,0,0,0,4009205,207319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14_052312_thfil145b_fl_Kovatsmatchonly,fil,Thalictrum_filamentosum,her,3,1,1520,2.66,4043.2,134659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145233,0,0,0,77945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14_052312_thfil145a_fl_Kovatsmatchonly,fil,Thalictrum_filamentosum,her,3,1,1520,2.19,3328.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10078,0,0,0,101878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140619_thflavsn_fl_Kovatsmatchonly,flav,Thalictrum_flavum,her,7,1,1500,9.95,14925,0,0,0,1341617,3060472,281614,0,0,0,0,0,0,0,0,0,1908996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140619_thflav143_fl_Kovatsmatchonly,flav,Thalictrum_flavum,her,7,1,1500,12.52,18780,2497801,2323467,1183026,68266375,6921765,91116245,8796704,0,0,0,7064983,0,0,8042920,4213099,69930139,0,2049036,0,0,1458220,0,0,0,1436353,0,0,0,0,0,1693940,0,0,0,0,0,0,0,0,0,0,0,2429273,60081804,6158838,83897692,6438537,2870498,2677132,2593397,20999104,0,0,0
